customer_id,first_name,last_name,full_name,gender,age,date_of_birth,bvn,nin,phone_number,telco_provider,email,state_of_origin,residential_state,banking_branch,onboarding_date
b5af208d-1d66-44d8-81c5-92883eb9b77c,Aisha,Sanni,Aisha Sanni,female,58,1968-06-10,99521446896,64082868335,+2348060402295,MTN,aisha.sanni728@gmail.com,Ondo,Kano,Taraba,2022-12-30
a3b26886-ab2c-4421-a6d3-51594aca86fe,Mariam,Hassan,Mariam Hassan,female,18,2008-11-15,73559515577,65473739303,+2349077385589,Airtel,mariam.hassan@outlook.com,Yobe,Enugu,Ebonyi,2025-02-13
8109075f-30cd-4a46-9920-b8e7441649bd,Emeka,Yusuf,Emeka Yusuf,male,38,1988-11-20,93339807151,86787091433,+2348027400937,Airtel,emeka.yusuf38@gmail.com,Abia,Ondo,Sokoto,2025-11-07
314dcdc6-14aa-4423-a2aa-3f7645def3b2,Aisha,Ekpo,Aisha Ekpo,female,38,1988-12-24,93854490356,98304314242,+2349067002231,MTN,aisha.ekpo@gmail.com,Jigawa,Yobe,Edo,2022-05-23
2450649e-85d7-4290-b015-afff897cf35b,Emeka,Ajayi,Emeka Ajayi,male,61,1965-06-16,85020245413,49310823449,+2348080922096,Airtel,emeka.ajayi@yahoo.com,Gombe,Abia,Kogi,2026-02-02
419049d8-8a41-4d6e-aad1-9a964909650c,Aaliyah,Adebiyi,Aaliyah Adebiyi,female,41,1985-05-10,95527028634,81954741646,+2348188562570,9mobile,aaliyah.adebiyi@gmail.com,Anambra,Borno,Osun,2025-06-05
e566fc01-a6c3-41f1-95b5-aa6e14fa58a3,Seyi,Salako,Seyi Salako,male,70,1956-12-25,42202275498,98172325408,+2348186211372,9mobile,seyi.salako@gmail.com,Oyo,Abia,Kogi,2022-12-27
5fb66023-9f1c-4326-96c1-e8077b35b0f5,Uche,David,Uche David,male,31,1995-10-14,39859704937,84820921706,+2347053370454,Glo,uche.david@gmail.com,Adamawa,Bayelsa,Ondo,2023-12-27
3489ace8-525e-4105-9692-a1e988a54159,Victor,Yusuf,Victor Yusuf,male,33,1993-05-20,41217069904,79933998536,+2349086487112,9mobile,victor.yusuf@yahoo.com,Anambra,Enugu,Katsina,2022-09-29
c6c3ad6f-a1b4-41b0-9fc0-9b22a080f073,Aisha,Bello,Aisha Bello,female,20,2006-02-18,18182626064,66527187244,+2349063440792,MTN,aisha.bello@gmail.com,Bauchi,Abia,Anambra,2024-09-05
585ad849-bb94-446a-9b62-6a132cd2f9af,Mubarak,Hassan,Mubarak Hassan,male,31,1995-02-07,34671099218,92212921435,+2349074807642,Airtel,mubarak.hassan693@gmail.com,Rivers,Adamawa,Plateau,2024-11-17
49995703-fda2-476e-ab30-0483de20b9ad,Seyi,Williams,Seyi Williams,male,26,2000-10-14,35676151273,80203152766,+2349092536265,9mobile,seyi.williams@gmail.com,Kaduna,Benue,Kogi,2024-12-06
64f043ff-a54e-4c3c-9665-7d6fb4262205,Olatunji,Hassan,Olatunji Hassan,male,64,1962-11-03,79781887344,30710971900,+2348171158039,9mobile,olatunji.hassan161@gmail.com,Osun,Rivers,Rivers,2024-05-14
92d2b994-cc7c-444b-97f1-7126b96b3cbe,Kehinde,Umar,Kehinde Umar,male,66,1960-08-26,11237259415,56622631835,+2347053589753,Glo,kehinde.umar@gmail.com,Abia,Oyo,Ekiti,2024-06-19
b510bd09-555c-45cd-84ea-b40166de6003,Halimah,Alimi,Halimah Alimi,female,43,1983-11-07,18039274901,45965167103,+2347088024554,Airtel,halimah.alimi@gmail.com,Rivers,Osun,Edo,2022-10-11
688a85bf-534f-4f85-904f-4557ec43b0e4,Oludayo,Ogunleye,Oludayo Ogunleye,male,61,1965-01-13,43837290193,52026654557,+2348098025679,9mobile,oludayo.ogunleye616@gmail.com,Kebbi,Ebonyi,Oyo,2025-10-31
72200222-3b31-497a-9f06-b688d00fed84,Chris,Umar,Chris Umar,male,22,2004-04-28,21709916695,91562149547,+2348104214430,MTN,chris.umar39@yahoo.com,Ondo,Edo,Anambra,2025-01-28
dc15218f-43bb-4e12-9e64-97a902f13c48,Aminat,Ogunleye,Aminat Ogunleye,female,19,2007-04-24,59306136579,28721822916,+2349032208940,MTN,aminat.ogunleye@gmail.com,Adamawa,Taraba,Kogi,2023-07-31
258a286b-710d-4477-963a-cca2fd84eafc,Mary,Umar,Mary Umar,female,53,1973-05-16,57178385682,63812012976,+2348123556303,Airtel,mary.umar605@yahoo.com,Delta,Plateau,Kogi,2023-08-15
a6c4e40f-68fb-435e-a175-4ee6047ed8e7,Ade,Oluwole,Ade Oluwole,male,33,1993-03-20,89107408485,24711370902,+2349029725123,Airtel,ade.oluwole@gmail.com,Zamfara,Osun,Kwara,2023-02-02
6790c6bb-dbe3-49cd-a890-e1f64e9832ac,Joy,David,Joy David,female,55,1971-02-06,53443124699,73025056435,+2349022718702,Airtel,joy.david@gmail.com,Niger,Delta,Ekiti,2023-12-11
